Year,Single-Year Age,Deaths,Population,Crude Rate
1999,16,4,4020305,Unreliable
1999,17,4,4031224,Unreliable
1999,18,10,3989843,Unreliable
1999,19,5,4104078,Unreliable
1999,20,14,3925495,Unreliable
1999,21,20,3763401,0.531
1999,22,16,3694190,Unreliable
1999,23,12,3562469,Unreliable
1999,24,13,3645874,Unreliable
1999,25,13,3657407,Unreliable
1999,26,20,3666228,0.546
1999,27,32,3935064,0.813
1999,28,35,4146484,0.844
1999,29,47,4169874,1.127
1999,30,61,4181212,1.459
1999,31,60,3936187,1.524
1999,32,96,4043957,2.374
1999,33,125,4079717,3.064
1999,34,152,4362276,3.484
1999,35,222,4605618,4.82
1999,36,250,4543561,5.502
1999,37,278,4582792,6.066
1999,38,286,4530009,6.313
1999,39,380,4620569,8.224
1999,40,383,4667525,8.206
1999,41,459,4461898,10.287
1999,42,513,4506931,11.382
1999,43,512,4297852,11.913
1999,44,546,4259922,12.817
1999,45,598,4245882,14.084
1999,46,641,3994950,16.045
1999,47,642,3937147,16.306
1999,48,637,3710656,17.167
1999,49,631,3765572,16.757
1999,50,599,3762700,15.919
1999,51,631,3601854,17.519
1999,52,623,3873166,16.085
1999,53,487,2785325,17.484
1999,54,513,2900567,17.686
1999,55,469,2859176,16.403
1999,56,522,2934509,17.788
1999,57,519,2561216,20.264
1999,58,439,2412512,18.197
1999,59,425,2317408,18.339
1999,60,413,2313430,17.852
1999,61,393,2178551,18.04
1999,62,435,2076327,20.95
1999,63,417,2054965,20.292
1999,64,407,2069932,19.662
1999,65,349,1913454,18.239
1999,66,351,1896361,18.509
1999,67,317,1916683,16.539
1999,68,327,1917811,17.051
1999,69,332,1897189,17.5
1999,70,272,1872535,14.526
1999,71,265,1830815,14.474
1999,72,273,1751382,15.588
1999,73,231,1714390,13.474
1999,74,209,1708289,12.234
1999,75,212,1637734,12.945
1999,76,197,1539287,12.798
1999,77,185,1499362,12.339
1999,78,157,1407240,11.157
1999,79,125,1258983,9.929
1999,80,111,1189382,9.333
1999,81,95,1047265,9.071
1999,82,71,972176,7.303
1999,83,69,875092,7.885
1999,84,69,798393,8.642
2000,16,4,3975021,Unreliable
2000,17,5,4046012,Unreliable
2000,18,8,4051598,Unreliable
2000,19,12,4127855,Unreliable
2000,20,8,4049448,Unreliable
2000,21,11,3841082,Unreliable
2000,22,14,3758648,Unreliable
2000,23,10,3673582,Unreliable
2000,24,19,3641241,Unreliable
2000,25,20,3744539,0.534
2000,26,26,3619660,0.718
2000,27,31,3789800,0.818
2000,28,47,3984812,1.179
2000,29,51,4242525,1.202
2000,30,64,4289970,1.492
2000,31,68,4011575,1.695
2000,32,82,3994121,2.053
2000,33,120,4026573,2.98
2000,34,141,4188149,3.367
2000,35,197,4516118,4.362
2000,36,215,4511168,4.766
2000,37,265,4517060,5.867
2000,38,310,4553814,6.807
2000,39,368,4608504,7.985
2000,40,434,4711434,9.212
2000,41,434,4466676,9.716
2000,42,529,4547220,11.633
2000,43,540,4407870,12.251
